Away,hRushYdsScored,hPassYdsScored,hPuntAvgScored,hPenAvgScored,hSackAvgScored,hRushYdsAllowed,hPassYdsAllowed,hPuntAvgAllowed,hPenAvgAllowed,hSackAvgAllowed,hTurnoverDiff,aRushYdsScored,aPassYdsScored,aPuntAvgScored,aPenAvgScored,aSackAvgScored,aRushYdsAllowed,aPassYdsAllowed,aPuntAvgAllowed,aPenAvgAllowed,aSackAvgAllowed,aTurnoverDiff
ARI,131.97685185185185,268.36805555555554,43.27744708994709,8.583862899115875,2.6729497354497354,94.63458994708994,230.30224867724868,41.59656084656085,7.931528183016279,2.4755291005291005,0.18088624338624337,115.10846560846562,242.2628306878307,43.11018518518518,6.806941533628041,2.746957671957672,129.56084656084656,290.60317460317464,40.38875661375662,8.451985911648611,3.8513227513227513,0.26706349206349206
ATL,135.54888888888888,213.82222222222222,41.67944444444445,7.92727673561007,3.3049999999999997,117.74333333333334,240.34555555555556,41.06777777777778,8.512393738977071,3.034444444444444,0.2238888888888889,69.62555555555556,306.8677777777778,36.00555555555555,7.703243386243386,1.3138888888888889,114.035,232.31055555555554,43.17444444444445,9.548175224466892,2.493888888888889,-1.2916666666666665
BAL,84.82000000000001,284.23,39.04,8.85415231990232,2.205,117.46166666666666,255.125,40.61333333333333,8.532389494764494,1.9533333333333331,0.41500000000000004,208.445,257.6083333333333,43.91666666666667,7.837193181818182,2.1766666666666667,74.39333333333335,265.96999999999997,42.43333333333333,7.479598364598364,2.163333333333333,0.52
BUF,117.05252525252527,248.8813131313131,40.589646464646464,9.40175034281095,2.022979797979798,116.98585858585857,262.60505050505054,40.64267676767677,8.362362368271459,2.620959595959596,-0.653030303030303,133.6280303030303,222.94520202020203,33.81515151515151,8.050783584401008,2.738888888888889,96.75883838383838,181.8128787878788,41.5800505050505,8.075371272246272,2.1974747474747476,-0.7472222222222222
CAR,110.98333333333333,252.75185185185182,41.50370370370371,8.047897627064293,2.735185185185186,104.96111111111111,255.41481481481483,41.31666666666666,8.12577715494382,2.7870370370370368,0.5907407407407407,121.32916666666667,233.03472222222217,41.37777777777778,9.153217592592593,3.775,129.52916666666667,205.82222222222222,38.981944444444444,7.9090487213403895,2.9638888888888886,-0.06944444444444442
CHI,97.51809764309765,253.18728956228958,43.063552188552194,7.958339635486099,1.6424663299663298,112.0841750841751,266.46696127946126,42.09280303030303,8.044480885626717,2.069023569023569,-0.052188552188552194,79.66564454064454,187.65494227994225,42.355699855699854,8.72043937103461,3.4342833092833094,75.63636363636364,216.9954906204906,40.79040404040404,7.762547145682066,3.00474987974988,0.25577200577200576
CIN,124.54634920634922,241.8796825396825,39.819047619047616,8.479404583071249,2.218730158730159,104.46698412698413,259.4634920634921,41.52793650793651,8.24819745069745,1.8761904761904762,0.14444444444444443,51.16857142857143,281.51746031746035,41.000317460317454,7.761814058956917,1.4526984126984128,172.75333333333333,243.23365079365075,38.60285714285714,8.031872752467992,3.55047619047619,-1.168253968253968
CLE,125.84271284271283,229.82927489177487,42.205357142857146,8.868159922238656,2.5807178932178934,91.87536075036076,216.83784271284273,38.12238455988456,8.776877587199557,2.208243145743146,1.0542929292929293,112.5739538239538,238.62896825396828,41.00090187590187,9.02366031235079,3.372294372294372,127.67261904761904,216.71194083694084,41.640151515151516,7.681412337662338,3.2979797979797976,-0.9402958152958153
DAL,80.21064814814815,252.8328703703704,42.8587962962963,8.28664181497515,2.3268518518518517,115.69583333333333,260.7226851851852,40.90787037037037,8.38100331253109,2.424537037037037,0.19583333333333333,137.48703703703703,320.5187830687831,39.69920634920636,9.426885989524878,2.1084656084656084,107.9835978835979,241.67962962962963,43.4978835978836,8.43252632141521,0.9529100529100529,0.2388888888888889
DEN,121.8733333333333,229.7766666666667,38.75,7.853953823953823,2.743333333333333,106.5,226.8733333333333,42.20666666666667,9.1753272005772,2.25,0.38333333333333336,105.5120634920635,225.6525396825397,39.30238095238095,8.229404761904764,1.5236507936507937,118.01825396825397,199.43936507936505,43.74428571428571,8.277115898211138,3.0423809523809524,-0.5423809523809524
