,Year,Week,Home,Away,ScoreDiff,RushYdsScoredDiff,PassYdsScoredDiff,PuntAvgScoredDiff,PenAvgScoredDiff,SackAvgScoredDiff,RushYdsAllowedDiff,PassYdsAllowedDiff,PuntAvgAllowedDiff,PenAvgAllowedDiff,SackAvgAllowedDiff,TurnoverDiffDiff,Win
1,2009,4,CLE,CIN,-3,-40.999999999999986,-40.66666666666666,-1.0,2.333333333333332,-1.6666666666666663,95.66666666666663,-11.666666666666686,3.6666666666666714,3.333333333333334,1.0,-1.6666666666666665,0
3,2009,4,IND,SEA,17,-26.0,76.33333333333337,-5.0,-1.6666666666666679,-0.666666666666667,-13.666666666666657,16.999999999999943,-1.6666666666666643,-2.333333333333332,-0.6666666666666666,1.3333333333333333,1
4,2009,4,JAC,TEN,20,-21.0,2.0,-1.3333333333333428,1.3333333333333321,-1.0,39.33333333333334,7.0,-1.0,0.3333333333333339,0.3333333333333335,1.6666666666666665,1
5,2009,4,KC,NYG,-11,-41.666666666666686,-85.66666666666663,3.0,-2.666666666666666,0.0,-2.0,119.0,-2.0,-1.666666666666666,2.333333333333333,-2.0,0
6,2009,4,NE,BAL,6,-48.66666666666666,13.333333333333314,0.3333333333333215,-1.333333333333334,-0.33333333333333304,37.333333333333314,-57.66666666666663,-5.666666666666664,-0.33333333333333215,-0.6666666666666667,-0.6666666666666667,1
7,2009,4,WAS,TB,3,5.333333333333371,39.66666666666663,2.0,2.333333333333334,0.33333333333333326,-59.66666666666663,-47.0,-0.3333333333333215,-2.666666666666666,1.0,0.0,1
8,2009,4,MIA,BUF,28,29.0,-30.99999999999997,1.6666666666666572,-2.333333333333335,0.0,-51.333333333333314,-8.666666666666629,-3.3333333333333357,-2.666666666666668,-1.0,-1.6666666666666667,1
9,2009,4,NO,NYJ,14,40.66666666666666,82.33333333333331,0.0,-1.0,0.9999999999999998,-13.666666666666671,69.99999999999994,8.0,2.0000000000000018,0.0,0.33333333333333326,1
10,2009,4,DEN,DAL,7,-34.99999999999997,-20.33333333333337,-6.0,-2.666666666666668,2.333333333333333,-36.33333333333336,-131.66666666666666,1.0,-0.3333333333333339,0.0,2.3333333333333335,1
11,2009,4,SF,STL,35,-5.666666666666629,5.666666666666686,-1.0,1.0,1.0,-81.33333333333333,-2.3333333333333144,2.0,-1.0,0.9999999999999998,1.0,1
12,2009,4,PIT,SD,10,14.666666666666671,-50.666666666666686,1.0,3.0000000000000018,0.33333333333333326,-66.00000000000001,33.33333333333337,-1.6666666666666785,0.3333333333333357,0.0,-1.6666666666666665,1
13,2009,4,MIN,GB,7,37.99999999999997,-33.666666666666686,0.0,1.333333333333334,0.6666666666666663,-36.66666666666666,-39.33333333333334,-9.666666666666679,0.6666666666666679,-1.0,-1.3333333333333333,1
14,2009,5,BAL,CIN,-3,23.75,71.25,1.0,2.0,-0.5,-43.5,-10.0,5.0,-0.25,-1.0,1.0,0
16,2009,5,CAR,WAS,3,1.0,-32.916666666666686,-9.666666666666671,-1.75,-0.41666666666666674,54.66666666666663,6.166666666666629,-1.8333333333333428,0.08333333333333215,1.0,-1.9166666666666665,1
17,2009,5,DET,PIT,-8,-3.5,-61.5,-7.75,-1.5,-0.25,60.0,21.75,-4.75,2.25,0.0,0.5,0
18,2009,5,KC,DAL,-6,-62.25,-92.25,3.0,-3.0,-0.25,13.5,-5.75,-2.75,-1.75,1.25,0.5,0
20,2009,5,PHI,TB,19,24.0,79.83333333333331,-1.5833333333333428,0.16666666666666785,1.833333333333333,-65.75,-65.75,0.0,-3.416666666666668,0.08333333333333326,0.41666666666666663,1
21,2009,5,STL,MIN,-28,-11.75,-58.5,5.25,-0.5,-2.0,45.5,13.25,7.75,0.25,0.25,-2.25,0
22,2009,5,SF,ATL,-35,15.416666666666686,-54.41666666666663,4.166666666666664,1.75,1.0833333333333333,-62.25,-35.083333333333314,6.916666666666664,0.916666666666667,2.3333333333333335,0.25,0
24,2009,5,DEN,NE,3,45.75,-56.75,3.25,0.0,1.75,-18.0,-29.75,2.5,1.25,0.5,1.25,1
26,2009,5,TEN,IND,-22,53.0,-108.75,-0.25,1.0,-1.0,-26.75,80.5,-2.0,1.0,0.5,-1.75,0
27,2009,5,MIA,NYJ,4,53.0,-28.5,0.75,-1.0,1.75,-39.25,61.0,3.0,-1.0,1.25,-0.75,1
28,2009,6,CIN,HOU,-11,51.19999999999999,-64.80000000000001,-1.8000000000000043,-1.0,1.9999999999999998,-41.8,6.600000000000023,-6.200000000000003,0.40000000000000036,0.3999999999999999,-0.6000000000000001,0
30,2009,6,JAC,STL,3,-0.7999999999999972,47.60000000000002,-5.0,-0.39999999999999947,-1.0,-18.200000000000003,35.80000000000001,-3.1999999999999957,1.1999999999999993,0.19999999999999973,1.7999999999999998,1
31,2009,6,MIN,BAL,2,-17.0,-32.599999999999994,1.2000000000000028,-0.8000000000000007,1.0,20.0,-13.400000000000006,-2.4000000000000057,1.6000000000000005,0.8000000000000003,1.2000000000000002,1
32,2009,6,NO,NYG,21,5.849999999999994,-9.0,0.0,-1.5500000000000007,-0.04999999999999982,-21.049999999999997,105.7,-2.6000000000000014,-0.1999999999999993,0.4,0.55,1
34,2009,6,TB,CAR,-7,-2.6500000000000057,4.849999999999994,6.950000000000003,0.09999999999999964,-0.44999999999999996,-2.9000000000000057,61.44999999999999,1.0,3.25,-1.4,1.85,0
35,2009,6,WAS,KC,-8,-0.7999999999999972,42.599999999999994,-6.199999999999996,1.0,0.8,-13.200000000000017,-98.80000000000001,3.4000000000000057,0.39999999999999947,-0.7999999999999998,-0.8,0
36,2009,6,OAK,PHI,4,-26.75,-150.4,5.0,-0.75,-1.45,60.25,49.5,-2.25,0.09999999999999964,1.0499999999999998,-2.05,1
37,2009,6,SEA,ARI,-24,49.099999999999994,-38.75,3.6000000000000014,1.6999999999999993,1.0499999999999998,35.8,-95.0,-0.8999999999999986,0.6999999999999993,0.0,0.09999999999999998,0
40,2009,6,ATL,CHI,7,15.0,26.25,-4.0,-1.5,-1.5,33.5,2.75,-3.25,-1.5,-1.25,1.0,1
41,2009,6,SD,DEN,-11,-85.25,57.69999999999999,4.299999999999997,-0.9500000000000002,-1.7000000000000002,70.0,42.94999999999999,0.8999999999999986,-2.0,0.8999999999999999,-0.7,0
42,2009,7,CIN,CHI,35,23.56666666666669,-13.53333333333336,-1.6000000000000014,-1.8333333333333321,-0.1333333333333333,8.433333333333309,37.0333333333333,-7.133333333333333,-1.3000000000000007,0.033333333333333215,-0.3,1
43,2009,7,CLE,GB,-28,2.4666666666666828,-122.23333333333332,3.3333333333333357,1.3666666666666663,0.0,59.93333333333334,49.400000000000006,-7.166666666666664,2.0999999999999996,-2.5,-2.4333333333333336,0
44,2009,7,HOU,SF,3,-28.866666666666674,131.36666666666667,-3.2333333333333414,-1.6999999999999993,-1.3666666666666667,36.23333333333332,-7.166666666666686,-2.4333333333333442,0.4666666666666677,-1.3333333333333333,-0.46666666666666673,1
45,2009,7,KC,SD,-30,40.4,-122.33333333333334,3.799999999999997,-0.20000000000000018,0.10000000000000009,-10.666666666666657,32.30000000000001,0.4333333333333371,-1.1666666666666679,0.6666666666666665,0.4666666666666666,0
46,2009,7,PIT,MIN,10,-18.0,73.50000000000006,-0.8333333333333215,1.666666666666666,-0.5,-19.16666666666667,-47.5,4.5,-1.0,0.3333333333333335,-2.1666666666666665,1
47,2009,7,STL,IND,-36,25.200000000000003,-152.16666666666663,3.200000000000003,1.633333333333332,-0.6000000000000001,29.299999999999997,59.599999999999994,1.7000000000000028,0.2999999999999998,1.6,-1.2333333333333334,0
48,2009,7,TB,NE,-28,-16.833333333333314,-110.16666666666669,1.6666666666666572,-1.0,0.0,58.83333333333334,18.0,2.833333333333343,2.666666666666668,0.8333333333333333,-1.5,0
49,2009,7,CAR,BUF,-11,9.533333333333303,-10.699999999999989,-6.566666666666656,0.20000000000000018,0.43333333333333357,-32.633333333333326,-13.866666666666646,-2.200000000000003,-1.5,-0.5666666666666664,-1.6666666666666667,0
50,2009,7,OAK,NYJ,-38,-74.5,-30.333333333333343,6.166666666666657,-0.33333333333333215,1.6666666666666665,29.666666666666657,32.5,0.0,-1.5,0.9999999999999998,-0.33333333333333337,0
51,2009,7,DAL,ATL,16,62.400000000000006,30.19999999999999,4.399999999999999,0.5999999999999996,0.0,-11.799999999999997,10.400000000000006,3.3999999999999986,1.2000000000000002,1.4,-1.8,1
52,2009,7,MIA,NO,-12,17.400000000000006,-107.39999999999998,3.200000000000003,0.20000000000000018,-0.20000000000000018,-8.199999999999989,8.400000000000006,-2.6000000000000014,-2.000000000000001,1.6,-2.4,0
53,2009,7,NYG,ARI,-7,90.06666666666666,-25.866666666666674,-0.9333333333333442,2.1333333333333337,0.10000000000000009,50.73333333333331,-117.86666666666665,-1.4333333333333442,0.5333333333333341,-1.1666666666666665,1.0666666666666667,0
